job_file,group,algo,env,seed,command
run_1.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,hallway,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=hallway with seed=1 use_cuda=False t_max=1005000
run_2.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,hallway,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=hallway with seed=3 use_cuda=False t_max=1005000
run_3.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,hallway,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=hallway with seed=5 use_cuda=False t_max=1005000
run_4.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,hallway,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=hallway with seed=8 use_cuda=False t_max=1005000
run_5.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,disperse,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=disperse with seed=1 use_cuda=False t_max=1005000
run_6.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,disperse,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=disperse with seed=3 use_cuda=False t_max=1005000
run_7.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,disperse,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=disperse with seed=5 use_cuda=False t_max=1005000
run_8.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,disperse,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=disperse with seed=8 use_cuda=False t_max=1005000
run_9.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,sensor,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=sensor with seed=1 use_cuda=False t_max=1005000
run_10.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,sensor,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=sensor with seed=3 use_cuda=False t_max=1005000
run_11.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,sensor,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=sensor with seed=5 use_cuda=False t_max=1005000
run_12.job,diva_vdn_like_1m,diva_bounded_sigmoid_vdn_DIVA,sensor,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_vdn_DIVA --env-config=sensor with seed=8 use_cuda=False t_max=1005000
run_13.job,baselines_1m,qmix,sensor,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qmix --env-config=sensor with seed=1 use_cuda=False t_max=1005000
run_14.job,baselines_1m,qmix,sensor,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qmix --env-config=sensor with seed=3 use_cuda=False t_max=1005000
run_15.job,baselines_1m,qmix,sensor,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qmix --env-config=sensor with seed=5 use_cuda=False t_max=1005000
run_16.job,baselines_1m,qmix,sensor,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qmix --env-config=sensor with seed=8 use_cuda=False t_max=1005000
run_17.job,baselines_1m,qtran,sensor,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qtran --env-config=sensor with seed=1 use_cuda=False t_max=1005000
run_18.job,baselines_1m,qtran,sensor,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qtran --env-config=sensor with seed=3 use_cuda=False t_max=1005000
run_19.job,baselines_1m,qtran,sensor,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qtran --env-config=sensor with seed=5 use_cuda=False t_max=1005000
run_20.job,baselines_1m,qtran,sensor,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=qtran --env-config=sensor with seed=8 use_cuda=False t_max=1005000
run_21.job,baselines_1m,vdn,sensor,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=vdn --env-config=sensor with seed=1 use_cuda=False t_max=1005000
run_22.job,baselines_1m,vdn,sensor,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=vdn --env-config=sensor with seed=3 use_cuda=False t_max=1005000
run_23.job,baselines_1m,vdn,sensor,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=vdn --env-config=sensor with seed=5 use_cuda=False t_max=1005000
run_24.job,baselines_1m,vdn,sensor,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=vdn --env-config=sensor with seed=8 use_cuda=False t_max=1005000
run_25.job,sensor_diva_gpu_version_1m,diva_bounded_sigmoid_qmix_DIVA_vscale1_clean,sensor,1,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_qmix_DIVA_vscale1_clean --env-config=sensor with seed=1 use_cuda=False t_max=1005000
run_26.job,sensor_diva_gpu_version_1m,diva_bounded_sigmoid_qmix_DIVA_vscale1_clean,sensor,3,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_qmix_DIVA_vscale1_clean --env-config=sensor with seed=3 use_cuda=False t_max=1005000
run_27.job,sensor_diva_gpu_version_1m,diva_bounded_sigmoid_qmix_DIVA_vscale1_clean,sensor,5,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_qmix_DIVA_vscale1_clean --env-config=sensor with seed=5 use_cuda=False t_max=1005000
run_28.job,sensor_diva_gpu_version_1m,diva_bounded_sigmoid_qmix_DIVA_vscale1_clean,sensor,8,/home/ludwika/miniconda3/envs/gacg/bin/python src/main.py --config=diva_bounded_sigmoid_qmix_DIVA_vscale1_clean --env-config=sensor with seed=8 use_cuda=False t_max=1005000
